Date;Open;High;Low;Close;Adj Close;Volume
22/07/2024;5544.540039;5570.359863;5529.040039;5564.410156;5564.410156;3375180000
19/07/2024;5543.370117;5557.5;5497.040039;5505;5505;3760570000
18/07/2024;5608.560059;5614.049805;5522.810059;5544.589844;5544.589844;4007510000
17/07/2024;5610.069824;5622.490234;5584.810059;5588.27002;5588.27002;4246450000
16/07/2024;5644.089844;5669.669922;5639.02002;5667.200195;5667.200195;4041760000
15/07/2024;5638.160156;5666.939941;5614.75;5631.220215;5631.220215;3620470000
12/07/2024;5590.759766;5655.560059;5590.439941;5615.350098;5615.350098;3700280000
11/07/2024;5635.209961;5642.450195;5576.529785;5584.540039;5584.540039;4020950000
10/07/2024;5591.259766;5635.390137;5586.439941;5633.910156;5633.910156;3336100000
9/07/2024;5584.240234;5590.75;5574.569824;5576.97998;5576.97998;3232920000
8/07/2024;5572.75;5583.109863;5562.509766;5572.850098;5572.850098;3185670000
5/07/2024;5537.910156;5570.330078;5531.629883;5567.189941;5567.189941;3253080000
3/07/2024;5507.439941;5539.27002;5507.419922;5537.02002;5537.02002;2179470000
2/07/2024;5461.839844;5509.689941;5458.430176;5509.009766;5509.009766;3329950000
1/07/2024;5471.080078;5479.549805;5446.529785;5475.089844;5475.089844;3488760000
28/06/2024;5488.47998;5523.640137;5451.120117;5460.47998;5460.47998;7199220000
27/06/2024;5473.589844;5490.810059;5467.540039;5482.870117;5482.870117;3589530000
26/06/2024;5460.709961;5483.140137;5451.870117;5477.899902;5477.899902;3563920000
25/06/2024;5460.72998;5472.879883;5446.560059;5469.299805;5469.299805;3591960000
24/06/2024;5459.580078;5490.660156;5447.589844;5447.870117;5447.870117;3696750000
21/06/2024;5466.77002;5478.310059;5452.029785;5464.620117;5464.620117;6773800000
20/06/2024;5499.990234;5505.529785;5455.560059;5473.169922;5473.169922;3847060000
18/06/2024;5476.149902;5490.379883;5471.319824;5487.029785;5487.029785;3544330000
17/06/2024;5431.109863;5488.5;5420.399902;5473.22998;5473.22998;3447840000
14/06/2024;5424.080078;5432.390137;5403.75;5431.600098;5431.600098;3438650000
13/06/2024;5441.930176;5441.930176;5402.509766;5433.740234;5433.740234;3530380000
12/06/2024;5409.129883;5447.25;5409.129883;5421.029785;5421.029785;3962840000
11/06/2024;5353;5375.950195;5327.25;5375.319824;5375.319824;3568030000
10/06/2024;5341.220215;5365.790039;5331.52002;5360.790039;5360.790039;3622280000
7/06/2024;5343.810059;5375.080078;5331.330078;5346.990234;5346.990234;3692760000
6/06/2024;5357.799805;5362.350098;5335.359863;5352.959961;5352.959961;3609990000
5/06/2024;5314.47998;5354.160156;5297.640137;5354.029785;5354.029785;3591460000
4/06/2024;5278.240234;5298.799805;5257.629883;5291.339844;5291.339844;3707900000
3/06/2024;5297.149902;5302.109863;5234.319824;5283.399902;5283.399902;4046920000
31/05/2024;5243.209961;5280.330078;5191.680176;5277.509766;5277.509766;5437160000
30/05/2024;5259.77002;5260.209961;5222.100098;5235.47998;5235.47998;3818750000
29/05/2024;5278.72998;5282.27002;5262.700195;5266.950195;5266.950195;3552750000
28/05/2024;5315.910156;5315.910156;5280.890137;5306.040039;5306.040039;3751540000
24/05/2024;5281.450195;5311.649902;5278.390137;5304.720215;5304.720215;3005510000
23/05/2024;5340.259766;5341.879883;5256.930176;5267.839844;5267.839844;3869520000
22/05/2024;5319.279785;5323.180176;5286.009766;5307.009766;5307.009766;3847130000
21/05/2024;5298.689941;5324.319824;5297.870117;5321.410156;5321.410156;3662240000
20/05/2024;5305.350098;5325.319824;5302.399902;5308.129883;5308.129883;3420100000
17/05/2024;5303.100098;5305.450195;5283.589844;5303.27002;5303.27002;3578120000
16/05/2024;5310.069824;5325.490234;5296.189941;5297.100098;5297.100098;3817470000
15/05/2024;5263.259766;5311.759766;5263.259766;5308.149902;5308.149902;4360810000
14/05/2024;5221.100098;5250.370117;5217.97998;5246.680176;5246.680176;4763580000
13/05/2024;5233.080078;5237.259766;5211.160156;5221.419922;5221.419922;4255710000
10/05/2024;5225.490234;5239.660156;5209.680176;5222.680176;5222.680176;3617900000
9/05/2024;5189.029785;5215.299805;5180.410156;5214.080078;5214.080078;3727370000
8/05/2024;5168.97998;5191.950195;5165.859863;5187.669922;5187.669922;3842100000
